product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
BONBONS-CHOCO 2.38 X 1;2.38;LIDL;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;113;Magasins maxi-discompte
BARRE CHOCO BLANC 2.39 X 1;2.39;LIDL;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;113;Magasins maxi-discompte
CHORIZO EN TRANCHES 2.80 X 1;2.8;LIDL;Saucisses et produits similaires à base de viande, d'abats ou de sang;01.1.2.5.1;113;Magasins maxi-discompte
LIPTON ITEAPCH 1.75L 2.05 X 2;4.1;LIDL;thé glacé;01.2.3.0.3;113;Magasins maxi-discompte
MINI BROWNIES CHOCO 1.53 X 2;3.06;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
NOIX DE CAJOU 1.63 X 2;3.26;LIDL;Noix de cajou, en coque ou décortiquées;01.1.6.8.2;113;Magasins maxi-discompte
SALADE ICEBERG 0.99 X 1;0.99;LIDL;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;113;Magasins maxi-discompte
LOOK O LOOK SUCETTES 1.99 X 1;1.99;LIDL;Autres confiseries et desserts sucrés n.c.a. (ND);01.1.8.9;113;Magasins maxi-discompte
LOMOS DE PORC 5.99 X 1;5.99;LIDL;Viande de porc, fraîche, réfrigérée ou congelée;01.1.2.2.2;113;Magasins maxi-discompte
BROCHETTES DE DINDE 3.56 X 1;3.56;LIDL;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;113;Magasins maxi-discompte
BAGUETTE 250G 0.35 X 1;0.35;LIDL;Pain;01.1.1.3.1;113;Magasins maxi-discompte
PAIN AU CHOCOLAT 0.49 X 6;2.94;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
FUET EXTRA 2.09 X 2;4.18;LIDL;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;113;Magasins maxi-discompte
CROISSANT PUR BEURRE 0.45 X 6;2.7;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
PIZZA PREMIUM 3.19 X 1;3.19;LIDL;Sandwichs, pizzas, quiches, tourtes à la viande ou au poisson, surgelés ou non;01.1.9.1.4;113;Magasins maxi-discompte
PIZZA PREMIUM 2.89 X 1;2.89;LIDL;Sandwichs, pizzas, quiches, tourtes à la viande ou au poisson, surgelés ou non;01.1.9.1.4;113;Magasins maxi-discompte
ST BASTIEN SANS OGM 2.38 X 1;2.38;LIDL;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
TABOULE POULET 2.30 X 1;2.3;LIDL;Plats préparés à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
PT BEURRE CHOC LAIT 1.96 X 2;3.92;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
FILM ETIRABLE 2 EN 1 1.15 X 1;1.15;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
GAUFRETTES ROULEES A 0.99 X 2;1.98;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
METKA SAUCISSE FUMEE 0.462KG X 8.29EUR/KG;3.83;LIDL;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;113;Magasins maxi-discompte
YAOURTS VANILLE 2.21 X 1;2.21;LIDL;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
TOMATE GRAPPE 0.636KG X 1.49EUR/KG;0.95;LIDL;Tomates, fraîches ou réfrigérées;01.1.7.2.4;113;Magasins maxi-discompte
POIVRON MIX 500G 2.49 X 1;2.49;LIDL;Piments et poivrons, frais ou réfrigérés;01.1.7.2.1;113;Magasins maxi-discompte
LE VIENNOIS CAFE 2.78 X 1;2.78;LIDL;Desserts et boissons à base de lait;01.1.4.7.0;113;Magasins maxi-discompte
FILTRE D'HABITACLE 1 X 12.50 ISFAT HB 135;12.5;CARTER-CASH;Pièces pour équipement de transport personnel (SD);07.2.1.2;641;Service d’entretien, de réparation ou de location pour l’automobile et autre moyen de locomotion (garagiste, vélociste…)
FILTRE A AIR MISFA 1 X 14.50 P52 A;14.5;CARTER-CASH;Pièces pour équipement de transport personnel (SD);07.2.1.2;641;Service d’entretien, de réparation ou de location pour l’automobile et autre moyen de locomotion (garagiste, vélociste…)
LESSIVE LIQUIDE LAVANDE 1L;4.95;BIOCOOP;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
EMINCES BOEUF LEGUMES CHAT 100;0.7;BIOCOOP;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
EMINCES AU SAUMON LEGUMES CHAT;0.7;BIOCOOP;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
EMINCES TRUITE LEGUMES CHAT 10;0.7;BIOCOOP;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
CHOCOLAT NOIR 55% FRAMBOISE 10 1.000 X 2.50€;2.5;BIOCOOP;Chocolat, y compris le chocolat blanc;01.1.8.5.1;112;Supermarchés, magasins multi-commerces
PATE PIZZA RONDE LEVAIN DEROUL;2.65;BIOCOOP;Autres produits de moulins à céréales et grains;01.1.1.9.0;112;Supermarchés, magasins multi-commerces
OEUF DETAIL 10.000 X 0.40€;4;BIOCOOP;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;112;Supermarchés, magasins multi-commerces
POIVRON 0.119KG X 5.70€/KG;0.68;BIOCOOP;Piments et poivrons, frais ou réfrigérés;01.1.7.2.1;112;Supermarchés, magasins multi-commerces
PECHE PLATE 0.295KG X 7.50€/KG;2.21;BIOCOOP;Pêches et nectarines, fraîches;01.1.6.3.5;112;Supermarchés, magasins multi-commerces
BATONNETS DE CABILLAUD PANE 35;8.99;BIOCOOP;Autres poissons, préparés ou conservés;01.1.3.3.9;112;Supermarchés, magasins multi-commerces
EPINARDS BRANCHES 600G;2.6;BIOCOOP;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
FARINE DE RIZ GLUANT 350G;5.3;BIOCOOP;Farine de céréales (ND);01.1.1.2;112;Supermarchés, magasins multi-commerces
CHOCOLAT NOIR DESSERT 56% 200G;2.99;BIOCOOP;Chocolat, y compris le chocolat blanc;01.1.8.5.1;112;Supermarchés, magasins multi-commerces
COMTE AOP RAPE LCRU 35%MG 100G;2.89;BIOCOOP;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
RHUBARBE 0.685KG X 5.40€/KG;3.7;BIOCOOP;Autres fruits, frais (ND);01.1.6.5;112;Supermarchés, magasins multi-commerces
COURGETTE VERTE 0.395KG X 4.20€/KG;1.66;BIOCOOP;Citrouilles, courges et potirons, frais ou réfrigérés;01.1.7.2.5;112;Supermarchés, magasins multi-commerces
PATATE DOUCE 0.942KG X 4.50€/KG;4.24;BIOCOOP;Patates douces;01.1.7.5.2;112;Supermarchés, magasins multi-commerces
CAROTTE LAVEE 0.455KG X 2.99€/KG;1.36;BIOCOOP;Carottes et navets, frais ou réfrigérés;01.1.7.4.1;112;Supermarchés, magasins multi-commerces
SALADE;1.35;BIOCOOP;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;112;Supermarchés, magasins multi-commerces
125G PALETS BRETON;1.82;CARREFOUR CITY;Biscuits et gâteaux;01.1.1.3.9.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
190G PESTO VERDE C;1.8;CARREFOUR CITY;Autres sauces et condiments;01.1.9.3.9;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
250G AERO VANI 29%;3.86;CARREFOUR CITY;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
6 X 5G BATON SAUMON;1.24;CARREFOUR CITY;Saumonidés, vivants, frais, réfrigérés ou congelés;01.1.3.1.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BQ 250G GARIGUET. F;4.99;CARREFOUR CITY;Fraises, fraîches;01.1.6.4.5;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
FLT CITRON BIO;1.89;CARREFOUR CITY;Citrons et citrons verts, frais;01.1.6.2.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
P SAUM SIMPL;6.42;CARREFOUR CITY;Saumonidés, vivants, frais, réfrigérés ou congelés;01.1.3.1.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
ZZ100G PARMI REG A;2.45;CARREFOUR CITY;Fromage;01.1.4.5.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
EAU PLATE 1L (MAN) 13.000KG X 0.30€/KG;3.9;BIOCOOP;Eau;01.2.5.0.0;112;Supermarchés, magasins multi-commerces
DESSERT CREME AVOINE CHOCOLAT;3.15;BIOCOOP;Yaourt et produits similaires;01.1.4.6.0;112;Supermarchés, magasins multi-commerces
CHOCOLAT NOIR 55% FRAMBOISE 10 1.000 X 2.50 €;2.5;BIOCOOP;Chocolat, y compris le chocolat blanc;01.1.8.5.1;112;Supermarchés, magasins multi-commerces
MYRTILLE 0.294KG X 17.50€/KG;5.15;BIOCOOP;Myrtilles, fraîches;01.1.6.4.6;112;Supermarchés, magasins multi-commerces
DEDUCTION FIDELITE 5.5;-3.37;BIOCOOP;Accessoires divers (SD);05.5.2.2;112;Supermarchés, magasins multi-commerces
100G NX CAJ POIV R;2.45;CITY;Noix, en coque ou décortiquées (ND);01.1.6.8;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
230G PAT FEUIL BEU;1.97;CITY;Autres produits de moulins à céréales et grains;01.1.1.9.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
250G PISTACHE NATU;4.4;CITY;Noix, en coque ou décortiquées (ND);01.1.6.8;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
600G EPINARDS BRAN;1.7;CITY;Épinards, frais ou réfrigérés;01.1.7.1.5;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BLE 10 X 25CL KOENIG;4.45;CITY;Bière (ND);02.1.3.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
MOUCHOIR BOITE PPB 2 X 0.99€;1.98;CITY;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SLADE LAITUE PIECE;1.69;CITY;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
X 15 MOUCHOIR MINI;2.25;CITY;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BOISSON TAMARIN 310ML TH;1.2;PARIS STORE;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
CHIPS B. PLANTIN CHIL 3 X 0.78€;2.34;PARIS STORE;Chips;01.1.7.9.4.2;112;Supermarchés, magasins multi-commerces
CHOU SALE KIMCHI 160G KR;2.1;PARIS STORE;Choux, frais ou réfrigérés;01.1.7.1.2;112;Supermarchés, magasins multi-commerces
CREV. DEC. C. 26/30 800GPSP;12.5;PARIS STORE;Crevettes et langoustines, vivantes, fraîches, réfrigérées ou congelées;01.1.3.4.1;112;Supermarchés, magasins multi-commerces
GATEAU MOU DURIAN 210GTW;2.8;PARIS STORE;Biscuits et gâteaux;01.1.1.3.9.3;112;Supermarchés, magasins multi-commerces
GATEAU MOU ROY. M. S. 450G;5.3;PARIS STORE;Biscuits et gâteaux;01.1.1.3.9.3;112;Supermarchés, magasins multi-commerces
GATEAUX LEGUME 625G VN;3.3;PARIS STORE;Biscuits et gâteaux;01.1.1.3.9.3;112;Supermarchés, magasins multi-commerces
HUILE SESAME OGH 300G SG;4.45;PARIS STORE;Autres huiles végétales comestibles nca;01.1.5.1.9;112;Supermarchés, magasins multi-commerces
MEL. LEGUME ACHARDS 200G;3.99;PARIS STORE;Autres légumes feuilles ou tiges, frais ou réfrigérés;01.1.7.1.9;112;Supermarchés, magasins multi-commerces
NOUGAT MOU SESAME AI;2.3;PARIS STORE;Autres confiseries et desserts sucrés n.c.a. (ND);01.1.8.9;112;Supermarchés, magasins multi-commerces
NOUILLE BLE NR 300G CH;1.3;PARIS STORE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
NOUILLE SEC. BLE NR. 300G;2.45;PARIS STORE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
NOUILLE UDON ISHIM. 400G;4.2;PARIS STORE;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
SAUCE AIGRE DOUCE 240GLK;2.2;PARIS STORE;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
SAUCE BALTI CUR. 280G PAS;2.85;PARIS STORE;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
SAUCE BIRYANI PASCO 283G;2.85;PARIS STORE;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
SAUCE PIM. SUCRE 300ML TH;1.3;PARIS STORE;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
VERMICE. F. MURIER 250G TH;1.65;PARIS STORE;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
VERMICE. JASM. BRUN 250GTH;1.75;PARIS STORE;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
VERMICE. JASM. ROUG 250GTH;1.6;PARIS STORE;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
VERMICEL DE RIZ 400G VN;1.65;PARIS STORE;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
VERMICEL. RIZ EG400G S TH;1.65;PARIS STORE;Soupes prêtes à l'emploi;01.1.9.1.6;112;Supermarchés, magasins multi-commerces
1 SOUS BOCK EN LIEGE MADE IN FRANCE;0;LE FOURGON;Divers;98.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
QUEUE DE CHARRUE BLONDE;6.5;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
LEFFE BLONDE;8.25;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
ABBAYE DE VAUCELLES BLONDE;4;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
CHIMAY DOREE;3.17;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
MOULINS D'ASCQ BLONDE;3.75;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
GRISETTE BLONDE BIO SANS GLUTEN;2.42;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
LINDEMANS GUEUZE;2.67;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
CHENIN;13.17;LE FOURGON;Vin de raisin (ND);02.1.2.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
HERISSON CHARDONNAY;12.5;LE FOURGON;Vin de raisin (ND);02.1.2.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
SAUMUR BLANC BRUT;16.58;LE FOURGON;Vin de raisin (ND);02.1.2.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
JUS DE POMME;5.5;LE FOURGON;Jus de fruits et de légumes (ND);01.2.1.0.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
VINAIGRE DE VIN ROUGE;5.4;LE FOURGON;Autres sauces et condiments;01.1.9.3.9;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
MOULINS D'ASCQ BLONDE;3.92;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
3 MONTS BLONDE;2.38;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
SAISON DUPONT BLONDE;2.92;LE FOURGON;Bière (ND);02.1.3.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
CONSIGNE;10.4;LE FOURGON;Divers;98.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
REDUCTION UTILISATION CAGNOTTE CONSIGNE;-15.4;LE FOURGON;Utilisation solde carte;98.6;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
RESTAURANT FRITERIE MEUNIER;8.4;FRITERIE MEUNIER;Restaurants, cafés et autres – à service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
MERGUEZ BOEUF X 12;7.79;SUPERMARCHE MATCH;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;112;Supermarchés, magasins multi-commerces
RABLES LAPIN;8.75;SUPERMARCHE MATCH;Viande de lièvres et de lapins fraîche, réfrigérée ou congelée;01.1.2.2.5;112;Supermarchés, magasins multi-commerces
PIECES A BROCHETTE;11.33;SUPERMARCHE MATCH;Viande de bovins fraîche réfrigérée ou congelée;01.1.2.2.1;112;Supermarchés, magasins multi-commerces
BAGUETTE DE CAMPAG;2.4;SUPERMARCHE MATCH;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
SALAKIS H. PROVENC.;3.59;SUPERMARCHE MATCH;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
CHILI CON CARNE 1/;2.79;SUPERMARCHE MATCH;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;112;Supermarchés, magasins multi-commerces
HARICOTS 3 X 1/41 DAU;2.39;SUPERMARCHE MATCH;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
TOMATE ALLONGEE;1.58;SUPERMARCHE MATCH;Tomates, fraîches ou réfrigérées;01.1.7.2.4;112;Supermarchés, magasins multi-commerces
CHOU FLEUR FRANCE;4.49;SUPERMARCHE MATCH;Choux-fleurs et brocolis, frais ou réfrigérés;01.1.7.1.3;112;Supermarchés, magasins multi-commerces
FRAISE RONDE 250G;2.99;SUPERMARCHE MATCH;Fraises, fraîches;01.1.6.4.5;112;Supermarchés, magasins multi-commerces
MAGRET CANARD CRU;11.55;SUPERMARCHE MATCH;Abats, sang et autres parties d'animaux abattus, frais, réfrigérés ou congelés, séchés, salés, en saumure ou fumés;01.1.2.4.0;112;Supermarchés, magasins multi-commerces
CHIPS EXT. CRAQU. NA;2.48;SUPERMARCHE MATCH;Chips;01.1.7.9.4.2;112;Supermarchés, magasins multi-commerces
RHUM BLANC OLD NIC;15.99;SUPERMARCHE MATCH;Spiritueux et liqueurs (ND);02.1.1.0;112;Supermarchés, magasins multi-commerces
COCA-COLA ZERO SS 4 X 1.90;7.6;SUPERMARCHE MATCH;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
JOKER FRUIT MULTI 2 X 2.05;4.1;SUPERMARCHE MATCH;Jus de fruits et de légumes (ND);01.2.1.0.0;112;Supermarchés, magasins multi-commerces
PURINA ONE LIGHT P 4 X 8.49;33.96;SUPERMARCHE MATCH;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;112;Supermarchés, magasins multi-commerces
POTJEVLEESCH DESOS;9.5;SUPERMARCHE MATCH;Plats cuisinés à base de viande et/ou de poisson;01.1.9.1.2;112;Supermarchés, magasins multi-commerces
NESTLE DESSERT NOI;4.45;SUPERMARCHE MATCH;Chocolat, y compris le chocolat blanc;01.1.8.5.1;112;Supermarchés, magasins multi-commerces
DOUCHE VERVEINE 25;2.29;SUPERMARCHE MATCH;Savons, dentifrices et produits de toilette;13.1.2.0.3;112;Supermarchés, magasins multi-commerces
BON FOURNISSEUR;-1.5;SUPERMARCHE MATCH;Accessoires divers (SD);05.5.2.2;112;Supermarchés, magasins multi-commerces
RESTAURANT PIZZA PASTA;14.9;PIZZA PASTA;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
OEUFS L.P BIO X 6;2.49;SUPERMARCHE MATCH;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;112;Supermarchés, magasins multi-commerces
RAISINS BRUNS 500;1.99;SUPERMARCHE MATCH;Raisins secs;01.1.6.7.1;112;Supermarchés, magasins multi-commerces
CHOCO. DEGUSTAT. MAT 2 X 1.65;3.3;SUPERMARCHE MATCH;Chocolat, y compris le chocolat blanc;01.1.8.5.1;112;Supermarchés, magasins multi-commerces
CAKE ANGLAIS;3.79;SUPERMARCHE MATCH;Biscuits et gâteaux;01.1.1.3.9.3;112;Supermarchés, magasins multi-commerces
FINDUS COLIN ALASK;4.85;SUPERMARCHE MATCH;Préparations de poisson (ND);01.1.3.3;112;Supermarchés, magasins multi-commerces
FILETS DE SOLE TRO;5.69;SUPERMARCHE MATCH;Poissons plats, vivants, frais, réfrigérés ou congelés;01.1.3.1.3;112;Supermarchés, magasins multi-commerces
250G AERO BRIDELIC;3.05;CITY;Crème;01.1.4.3.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
CARTE BANCAIRE;30.05;IMPRIMERIE PAPET;Autres services nca (S);13.9.0.9;239;Autres petites surfaces spécialisées non alimentaires
CARTE BANCAIRE;57;BRIQUE HOUSE TAPROO;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
TOMATE CERISE ALLONG;2;INTERMARCHE;Tomates, fraîches ou réfrigérées;01.1.7.2.4;112;Supermarchés, magasins multi-commerces
HD 4MN CUP FRUIT CO;4.89;INTERMARCHE;Glace, crème glacée et sorbet (ND);01.1.8.6;112;Supermarchés, magasins multi-commerces
HD 4MN CUP SORB. COL;4.89;INTERMARCHE;Glace, crème glacée et sorbet (ND);01.1.8.6;112;Supermarchés, magasins multi-commerces
SOIG. F. BLANC LT CHEV;2.71;INTERMARCHE;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
SOIG. F. BLANC LT CHEV;2.71;INTERMARCHE;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
TOMATE RONDE EN GRAP 1.135KG X 1.99EURO/KG;2.26;INTERMARCHE;Tomates, fraîches ou réfrigérées;01.1.7.2.4;112;Supermarchés, magasins multi-commerces
ST HUBERT OMEGA 3 DO;5.13;INTERMARCHE;Margarine et préparations similaires (ND);01.1.5.3;112;Supermarchés, magasins multi-commerces
BANANE RUBAN 5 FRUIT;0.99;INTERMARCHE;Bananes, fraîches;01.1.6.1.2;112;Supermarchés, magasins multi-commerces
P&C FILET LIMAND MEU;3.69;INTERMARCHE;Poissons plats, vivants, frais, réfrigérés ou congelés;01.1.3.1.3;112;Supermarchés, magasins multi-commerces
BOUTON OR CACAHUETES;1.53;INTERMARCHE;Arachides, en coque ou décortiquées;01.1.6.8.8;112;Supermarchés, magasins multi-commerces
LAITUE FEUILLE CHENE;1.49;INTERMARCHE;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;112;Supermarchés, magasins multi-commerces
BOUTON OR COFFRET CR;2.93;INTERMARCHE;Illisible ou indéterminé;98.4;112;Supermarchés, magasins multi-commerces
DAUC. P. POIS CAR. EXT;3.26;INTERMARCHE;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
DAUCY PETI. POIS EXT;3.26;INTERMARCHE;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
JBIO QUINOTTO LEG. VT;2.2;INTERMARCHE;Céréales (ND);01.1.1.1;112;Supermarchés, magasins multi-commerces
JBIO QUINOTTO LEG. VT;2.2;INTERMARCHE;Céréales (ND);01.1.1.1;112;Supermarchés, magasins multi-commerces
JB COUSCOUS PLT CURC;2.2;INTERMARCHE;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;112;Supermarchés, magasins multi-commerces
JB COUSCOUS PLT CURC;2.2;INTERMARCHE;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;112;Supermarchés, magasins multi-commerces
JB QUINOTTO TOMA. PAR;2.2;INTERMARCHE;Céréales (ND);01.1.1.1;112;Supermarchés, magasins multi-commerces
JBIO LENTIL. FAC. PTIT;2.2;INTERMARCHE;Lentilles, sèches;01.1.7.6.4;112;Supermarchés, magasins multi-commerces
MEO CAFE GRAINS ESPR;13.95;INTERMARCHE;Café;01.2.2.0.1;112;Supermarchés, magasins multi-commerces
MEO CAFE GRAINS ESPR;13.95;INTERMARCHE;Café;01.2.2.0.1;112;Supermarchés, magasins multi-commerces
JAMBON SUPERIEUR FUM;6.98;INTERMARCHE;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
ROULADE PP NATURE 3;4.03;INTERMARCHE;Autres préparations de viande, d'abats ou de sang nca;01.1.2.5.9;112;Supermarchés, magasins multi-commerces
PZ FANTAISIES SERPENT;2.05;INTERMARCHE;Illisible ou indéterminé;98.4;112;Supermarchés, magasins multi-commerces
PZ FANTAISIES SERPEN;2.05;INTERMARCHE;Illisible ou indéterminé;98.4;112;Supermarchés, magasins multi-commerces
CARAP. HLE OL. V. BIO7;11.8;INTERMARCHE;Huiles végétales (ND);01.1.5.1;112;Supermarchés, magasins multi-commerces
PAQUITO BCL POM. ABRI;2.25;INTERMARCHE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
